00006520	Titular 6520             	  6693,79
00006171	Titular 6171             	  9524,89
00002468	Titular 2468             	  4123,05
00002748	Titular 2748             	   301,48
00003062	Titular 3062             	  5281,47
00007283	Titular 7283             	  2051,49
00005170	Titular 5170             	  1372,79
00006057	Titular 6057             	  8080,27
00003172	Titular 3172             	  2401,33
00006812	Titular 6812             	  4859,68
00004118	Titular 4118             	  9209,28
00005126	Titular 5126             	  1563,41
00000143	Titular 143              	   104,13
00003268	Titular 3268             	  7770,47
00000890	Titular 890              	  2451,55
00003132	Titular 3132             	   989,31
00007609	Titular 7609             	  1126,45
00009218	Titular 9218             	  4381,73
00009241	Titular 9241             	  2336,39
00002571	Titular 2571             	  4474,58
00004471	Titular 4471             	  9757,35
00002150	Titular 2150             	  1235,41
00006894	Titular 6894             	  3361,92
00008141	Titular 8141             	  7912,65
00005526	Titular 5526             	  4926,41
00008067	Titular 8067             	  5926,36
00000367	Titular 367              	  3216,35
00005176	Titular 5176             	  5493,44
00009913	Titular 9913             	  6753,92
00008603	Titular 8603             	  4617,08
00001701	Titular 1701             	  7861,37
00007438	Titular 7438             	  9950,43
00008674	Titular 8674             	  4425,78
00003294	Titular 3294             	  4426,39
00004736	Titular 4736             	  9670,56
00009592	Titular 9592             	   935,86
00007762	Titular 7762             	  7948,93
00009873	Titular 9873             	  4656,78
00002241	Titular 2241             	  7872,57
00007065	Titular 7065             	  2757,88
00000641	Titular 641              	   9771,3
00008105	Titular 8105             	  5579,64
00003650	Titular 3650             	  2210,55
00007936	Titular 7936             	   209,48
00002584	Titular 2584             	   402,18
00009714	Titular 9714             	  4812,14
00009644	Titular 9644             	   873,44
00009571	Titular 9571             	   584,55
00004721	Titular 4721             	  4298,39
00000728	Titular 728              	  6426,86
00009031	Titular 9031             	  5504,25
00000039	Titular 39               	  8632,62
00005710	Titular 5710             	  8283,69
00005034	Titular 5034             	  7307,28
00000134	Titular 134              	  1867,96
00001301	Titular 1301             	  7122,93
00003563	Titular 3563             	  6872,09
00003225	Titular 3225             	  4695,47
00007562	Titular 7562             	     9858
00001991	Titular 1991             	  5212,66
00003216	Titular 3216             	  5220,35
00000272	Titular 272              	  6920,43
00006790	Titular 6790             	  8644,44
00008033	Titular 8033             	  6343,32
00004605	Titular 4605             	  8054,84
00009917	Titular 9917             	  3134,15
00002811	Titular 2811             	   324,95
00006618	Titular 6618             	  5501,69
00000780	Titular 780              	     5019
00003485	Titular 3485             	  2250,16
00005384	Titular 5384             	  2904,09
00000448	Titular 448              	   699,03
00001818	Titular 1818             	  4205,98
00009156	Titular 9156             	  7999,31
00002659	Titular 2659             	  9482,72
00007166	Titular 7166             	  2344,85
00003074	Titular 3074             	  8791,47
00001959	Titular 1959             	  7126,98
00001053	Titular 1053             	  6221,04
00000304	Titular 304              	  8973,81
00000091	Titular 91               	  9000,79
00002327	Titular 2327             	  4347,04
00009305	Titular 9305             	  3282,73
00008319	Titular 8319             	  1489,23
00002597	Titular 2597             	  4571,69
00006046	Titular 6046             	  3245,04
00008367	Titular 8367             	  7514,16
00003873	Titular 3873             	  9434,08
00009857	Titular 9857             	  5049,34
00008140	Titular 8140             	   284,19
00002673	Titular 2673             	  4321,16
00004718	Titular 4718             	  5723,88
00000127	Titular 127              	  5810,36
00003842	Titular 3842             	  7483,95
00001406	Titular 1406             	  9348,12
00008079	Titular 8079             	  9206,18
00004660	Titular 4660             	  8674,35
00001434	Titular 1434             	  8072,14
00000057	Titular 57               	  6495,39
00003520	Titular 3520             	     70,2
00008153	Titular 8153             	  7778,52
00004408	Titular 4408             	  6120,82
00008178	Titular 8178             	  2228,81
00006270	Titular 6270             	  9206,91
00000891	Titular 891              	  3820,83
00006089	Titular 6089             	   552,64
00001686	Titular 1686             	   9455,8
00002774	Titular 2774             	  5912,94
00005168	Titular 5168             	   2537,6
00002955	Titular 2955             	  7029,13
00004658	Titular 4658             	  6929,29
00009301	Titular 9301             	  5724,74
00005071	Titular 5071             	   7459,8
00007959	Titular 7959             	  5471,62
00002618	Titular 2618             	   644,37
00005723	Titular 5723             	   748,12
00003125	Titular 3125             	  7404,14
00009327	Titular 9327             	  6770,59
00004988	Titular 4988             	  8604,93
00009252	Titular 9252             	  5690,76
